ID,Nombre,Precio,Descripción,SKU,URL Imagen
6044,Hoja de Celotex,283.50,"<p>Hoja de Celotex de material celulósico impregnado con asfalto para aislar muros colindantes, formar juntas de concreto en pisos y pavimentos, tipo junta pre moldeada.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-29_091925026.png
6041,Self Dan,553.50,"<p>Rollo 0.1 X 10 m de banda autoadhesiva para sellar traslapes de láminas, grietas, juntas frías, canalones, domos y los traslapes en el sistema danodren.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-29_083453092.png
6038,Fijación,2.03,"<p>Arandelas plásticas para sellar la perforación en aplicaciones de danodren.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-29_083249744.png
6036,Cinta Perimetral,1194.75,"<p>25 m de lámina flexible autoadhesiva perimetral para el sistema impactodan.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-29_082843920.png
6033,Cinta Solape,438.75,"<p>25 m de cinta flexible autoadhesiva para el traslape del Impactodan.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-29_082843920.png
6030,Fonodan BJ,1755.00,"<p>Rollo 10 x .42 m de membrana autoadherible de espuma de alta densidad para aislamiento acústico de tuberías hidráulicas.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-29_082612726.png
6027,Impactodan 5 mm,6925.50,"<p>Rollo 50 x 20 m de lámina flexible de polietileno reticulado en celda cerrada que funciona como amortiguador de ruido por impacto en entre losas.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-29_082404661.png
6025,Danodren H-15 Plus,5062.50,"<p>Rollo 2.1 x 15 m de lámina nodular drenante de polietileno de alta densidad con geotextil termo adherido para protección de jardines, muros y cimentaciones.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-29_081551901.png
6021,Danodren H-15,6378.75,"<p>Rollo 2.1 x 28 m de lámina nodular drenante de polietileno de alta densidad para protección de muros y cimentaciones.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-29_081551901.png
6018,Primario WS,513.00,"<p>Galón de 4 litros de primario asfáltico para óptima adherencia de Conseal CS-231.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/GALON-4LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
6015,Conseal CS-231,4455.00,"<p>Caja con 30 m de tira selladora hidro expansiva para juntas frías de concreto.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CONSEAL-2.jpg
6005,Escalerilla para Muro,1300.00,"<p>Refuerzo Horizontal para muro.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-29_072919483.png
6003,Tuerca Mariposa con Base,936.00,"<p>Pieza metálica de acero forjado, utilizada para el correcto aseguramiento de la barra roscada.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/TUERCA-MARIPOSA-3-IMAGEN-1.jpg
5945,ESPUMA DE POLIURETANO,243.00,"<p>De un solo componente, expansiva. Usada para sellar y rellenar juntas, huecos en paredes y montajes de sistemas de climatización, etc.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-02_091202858.png
5942,HULE SILICÓN TRANSPARENTE / BLANCO,81.00,"<p>Sellador elástico de uso múltiple.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-02_090853586.png
5939,POLIBAU “SL” GRIS,229.50,"<p>Sellador elástico autonivelante mono componente de poliuretano para juntas horizontales.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/CUBETA-19LTS-PRODUCTOS-QUIMICOS-1-IMAGEN.jpg
5934,"POLIBAU GRIS, BLANCO, NEGRO",155.25,"<p>Sellador de poliuretano mono componente para juntas horizontales y verticales.</p>",,https://cimbrayaccesorios.com.mx/wp-content/uploads/2023/05/imagen_2023-05-02_090214099.png
